Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,lat,long,geometry,reported_date
Theft,"5727 S. University, Chicago, IL",10/10/23 5:57 PM,10/10/23 12:45 to 5:30 PM,Secured bicycle taken from bike rack,Open,23-00984,41.790920832250265,-87.59798553326897,,2023-10-10
Information / Theft from Person,"5335 S. Harper, Chicago, IL",10/10/23 9:04 PM,10/10/23 9:00 PM,Victim met unknown subject via online market place to sell laptop / Suspect grabbed laptop and fled / CPD case,CPD,2023-035918,41.79874162260143,-87.58899579237851,,2023-10-10
Information / Battery,"1164 E. 55th St., Chicago, IL",10/10/23 10:38 PM,10/10/23 10:30 PM,Person walking on the sidewalk off-campus was struck  by a paintball fired from a passing vehicle / No injuries reported / CPD case,CPD,2023-035933,41.79511498549493,-87.59722552598652,,2023-10-10
Information / Theft from Person,"5035 S. East End, Chicago, IL",10/11/23 4:35 PM,10/9/23 5:45 PM,Person standing on the sidewalk off-campus was approached by a suspect that snatched a cell phone from victim and ran to a waiting vehicle / CPD case JG457395,CPD,2023-036042,41.80312246813827,-87.58534952839977,,2023-10-11
Information / Theft,"1153 E. 56th St., Chicago, IL",10/11/23 5:55 PM,10/10/23 7:55 PM,"Unknown person took unattended, unsecured suitcase left in alley off-campus  / Referred to CPD",Referred,2023-036052,41.793191354387375,-87.59771454111552,,2023-10-11
Information / Theft,"1554 E. 55th St., Chicago, IL",10/12/23 5:04 PM,10/12/23 4:55 PM,Unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-036175,41.7952934540188,-87.588744563006,,2023-10-12
Theft,"1100 E. 57th St., Chicago, IL",10/13/23 12:20 AM,10/12/23 to 10/13/23 4:00 PM to 12:00 AM,An electric scooter secured to a railing was taken,Open,23-00991,41.79148537051799,-87.59815254349274,,2023-10-13
Information / Theft from Motor Vehicle,"6137 S. Dorchester, Chicago, IL",10/13/23 10:03 AM,10/5/23 9:00 AM,Unknown person took catalytic converter from car parked on the street off-campus / Referred to CPD,Referred,2023-036258,41.782933363553525,-87.59132568488889,,2023-10-13
Battery,"5656 S. Maryland, Chicago, IL",10/14/23 10:12 AM,10/14/23 10:10 AM,A disturbed patient struck a CFD EMT as she was being assisted into the ER / No arrest at this time due to patient's condition,Open,23-00997,41.7921342041933,-87.60503296834287,,2023-10-14
Information / Theft,"1526 E. 55th St., Chicago, IL",10/14/23 12:40 PM,10/14/23 12:40 PM,A suspect took merchandise from the store without paying / Suspect located and detained by UCPD officer / Management declined charges,Ex. Cleared,2023-036381,41.79545685940735,-87.58927652850423,,2023-10-14
Theft,"5550 S. University, Chicago, IL",10/15/23 6:16 PM,10/13/23 to 10/14/23 2:00 PM to 9:00 AM,Two tires were taken from a bicycle secured to a bike rack,Open,23-00998,41.79413319515146,-87.59821806758379,,2023-10-15
